"縣市","","遊憩據點","","108年7月","108年8月","108年9月","108年10月","108年11月","108年12月","109年1月","109年2月","109年3月","109年4月","109年5月","109年6月","109年7月","109年8月","109年9月","109年10月","109年11月","109年12月","110年1月","110年2月","110年3月","110年4月","110年5月","110年6月","110年7月","110年8月","110年9月","110年10月","110年11月","110年12月","111年1月","111年2月","111年3月","111年4月","111年5月","111年6月","111年7月","111年8月","111年9月","111年10月","111年11月","111年12月","112年1月","112年2月","112年3月","112年4月","112年5月","112年6月","112年7月","112年8月","112年9月","112年10月","112年11月","112年12月","113年1月","113年2月","113年3月","113年4月","113年5月","113年6月","113年7月","小計"
"臺東縣","Taitung County","都蘭遊憩區及周邊地區","Dulan Recreation Area and Surrounding Area","47293","45632","28595","42502","41039","38521","58783","28451","13034","16338","15444","30961","40083","62880","33005","49937","36161","38583","41405","57139","15639","29013","9983","0","422","9578","8423","12437","17687","18863","11161","27633","8766","13262","5610","6003","15235","14584","13424","10647","19701","76865","22836","17741","11161","17119","11676","9408","15266","14461","6883","7935","11073","11300","209175","266246","230348","184929","200499","207367","232084","2798229"
"臺東縣","Taitung County","金針山休閒農業區","Mt. Jinjhen Recreation Farming Area","22000","24000","10100","5600","6400","18000","23000","30000","14000","21000","20000","64000","66000","87100","62400","35000","33000","17000","23000","65000","24000","22000","4500","300","600","17000","19000","17000","47626","16000","24000","25850","14000","11000","4500","17000","21000","27500","17000","15000","2900","3600","23000","17500","11000","10500","3800","11600","8500","16800","16000","12000","4800","5000","3500","22500","9300","9200","3400","10500","8000","1204876"
"臺東縣","Taitung County","台東森林公園","Taitung Forest Park","33393","62591","17875","28709","27296","24582","34965","28454","13482","14330","9948","23000","37937","146279","31262","41053","38707","24727","29951","40156","21176","48251","9543","0","9240","13306","13026","19655","28088","27528","25685","33318","21801","23944","6796","11293","27474","26051","20450","58379","17552","21083","32587","24377","31958","43332","16620","15848","19997","20350","9334","16481","17492","22462","17956","22322","36440","83766","9459","8655","8899","1650671"
"澎湖縣","Penghu County","澎湖遊客中心","Penghu Visitor Center","9443","7107","9761","10724","6333","7902","4656","2389","3466","2430","3549","7272","13076","12130","10301","11424","5010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","458","8608","6783","5715","6614","10202","10284","8413","5267","4387","4495","3827","11088","16566","18730","18349","16367","13042","10938","11388","6422","3793","4517","6126","9421","14265","15933","14057","14468","407496"
"澎湖縣","Penghu County","南海遊客中心","South Sea Visitor Center","73152","43239","44699","27549","9309","8114","9986","8311","11343","11794","20953","54316","117782","104243","69550","27967","9755","7381","6868","9435","19460","71086","53614","5526","7352","14693","21541","16911","9820","7751","7652","6401","18048","44998","48425","70690","73143","63944","50286","22561","13732","7248","8466","8175","20451","65426","88814","91047","63702","45396","37443","18822","9247","7838","12364","9861","40608","58031","94104","124196","107637","2242256"
"澎湖縣","Penghu County","北海遊客中心","North Sea Visitor Center","45444","29127","20535","7808","2732","2530","3166","2725","3445","3448","5519","18237","54009","56575","21728","6598","1889","2288","2526","2521","3273","16309","16676","1644","2937","4737","5702","4368","3460","2397","2773","1967","3292","13306","15895","28765","34389","33827","16967","5594","3049","2269","2631","1821","2946","20188","23417","30292","27551","22434","10699","3596","2628","2356","2783","2708","3819","11642","19233","23395","25888","756473"
"澎湖縣","Penghu County","西嶼西臺","Siyu Western Fort","7740","4743","5463","3243","1841","989","546","573","773","822","1480","4199","9717","9884","5320","4876","1550","641","612","389","1834","4889","2769","0","20","491","1062","786","697","433","353","223","1030","2575","2267","2118","2735","2546","1904","1559","709","361","210","452","901","3149","3285","2962","2615","2832","1611","1421","742","457","325","310","921","2333","3280","3227","3224","131019"
"澎湖縣","Penghu County","小門遊憩區","Siaomen Recreation area","64660","43780","35750","28940","13670","7150","6430","5650","6800","6110","15300","35850","77730","83450","39020","33650","11880","5605","8948","23445","13022","25624","19288","0","734","4842","9857","9451","6870","4911","8025","12431","12654","18882","21389","31429","43385","40691","29265","23278","9877","6453","8927","8215","8687","24779","31317","29153","18829","20816","9340","8248","4732","3627","3796","6749","9265","21540","34870","40072","35769","1234907"
"澎湖縣","Penghu County","綠蠵龜觀光保育中心","Green Turtle Tourism and Conservation Center","8644","5119","3603","1833","85","5","86","108","353","513","1134","3599","9940","9551","3576","1563","126","37","56","109","281","2532","2736","0","0","506","1147","562","219","22","32","43","419","1933","2881","4328","4784","4208","2040","883","131","24","113","76","812","4686","3712","5377","4054","3130","1784","770","180","67","67","83","571","1641","3417","5671","4504","120466"
"澎湖縣","Penghu County","七美遊憩區","Qimei Recreation area","57696","34153","34632","16643","2316","1696","2929","1791","3436","5120","11539","38185","102455","92651","52797","15303","1932","1203","1515","2340","6753","47114","46978","921","1455","6561","14349","1749","2068","1565","1695","1595","7742","34760","35520","45402","49652","46152","34458","10364","3298","1389","2258","1392","8821","52581","63072","69465","41859","32180","22800","8456","2425","1784","1770","2435","7810","29575","50842","58432","47018","1386847"
"澎湖縣","Penghu County","北寮奎壁山地質公園","Beiliao Kuibishan Geopark","77194","57282","59357","54681","26337","20075","19435","14016","25040","22985","25144","49594","96274","106744","77335","58784","18176","8304","8650","7968","20934","59229","42410","298","835","6643","14205","13364","12185","6580","6014","6028","14871","35575","43702","41531","43972","46934","42944","26190","13967","7848","5640","7023","19125","55340","69716","59562","42233","37416","26596","22834","12972","5442","5075","5922","15803","54040","73552","80115","67107","2005147"
"澎湖縣","Penghu County","望安遊憩區","Wang-an Recreation area","0","0","0","0","0","0","8277","7212","10562","10680","16050","33406","62847","68145","42390","17803","6445","5376","6879","7048","11835","40090","33291","4865","6273","11003","17182","11471","7339","6296","7616","6354","12837","28435","26624","26793","32242","30800","24952","10631","11611","6016","6434","6323","14967","35867","37986","41123","29414","25109","18808","12542","9259","7565","9515","7856","14493","22600","39136","40483","31737","1088893"
"澎湖縣","Penghu County","澎湖生活博物館","Penghu Living Museum","10223","7079","5034","4062","4087","2917","2280","1995","1092","869","2283","4384","10129","11549","4657","5707","3155","1582","1427","1186","4209","4858","2797","0","106","621","504","1539","3985","3034","2053","3309","4507","4389","3389","3016","5703","5281","4290","4615","2709","2207","2643","3696","2062","5425","6788","6794","9515","7185","4093","4563","3202","2207","1863","3105","3884","5158","7138","8634","11699","252472"
"金門縣","Kinmen County","中山林遊客中心","Jhongshanlin Visitor Center","14052","12484","10829","13109","13420","13004","8988","3397","1605","909","1102","4391","7498","7778","5452","5909","4070","2705","2313","2049","2247","2869","1624","0","38","400","858","1586","2572","2216","1795","3043","2929","3254","2369","3543","7601","7250","5938","7431","6765","6175","5057","5049","6075","7699","10916","9762","11531","10772","9295","9694","9508","8455","6664","5322","6722","7663","8466","10511","10463","367191"
